32	8	P	342.588757323913		753
33	1	I	344.418815079018		1500
33	2	P	344.894830165573		754
33	3	B	347.001454769188		383
33	4	B	348.780995931222		377
33	5	P	349.001043097469		760
33	6	B	349.320949502854		393
34	1	I	377.775387404372		1500
34	2	P	377.869955911923		751
34	3	B	379.683184188365		380
34	4	B	379.810189258502		378
34	5	P	379.819230271694		750
34	6	B	379.895798198489		380
34	7	B	380.080749520957		377
35	1	I	398.982875546395		1500
35	2	B	399.749925044615		8
35	3	P	400.505414546056		751
35	4	B	403.455311043733		376
35	5	B	405.914082645703		376
35	6	P	406.203193322872		752
35	7	B	406.470765241202		376
36	1	I	444.139855361952		1500
37	1	I	446.260565676796		1500
36	2	B	446.265246039266		4
36	3	B	446.482239742799		19
38	1	I	446.527825418537		1500
38	2	P	447.251776569773		754
38	3	B	447.786418768645		388
37	2	P	447.895941786192		759
38	4	B	448.265748633482		386
38	5	P	448.605367521439		751
38	6	B	449.539198302913		377
38	7	B	450.135767966276		376
38	8	P	450.428741986485		756
39	1	I	459.421189040575		1500
39	2	B	463.04546633918		2
39	3	P	463.140035102247		753
39	4	B	463.989881982474		377
39	5	B	464.983754360543		380
40	1	I	476.543294852725		1500
40	2	P	477.607312620239		780
40	3	B	477.867640753896		398
